FY	SN	MODEL	DEST	CHASSIS	LCD PANEL	LCD_LABEL	LCD_VENDOR	INVERTER/LD	I_LABEL/LD_LABEL	TCON	T_LABEL	MAIN BOARD	M_LABEL	PSU	PSU_LABEL	REMOTE COMMANDER	REMOTE COMMANDER_LABEL
FY15	6800001-7000000	KDL-65W857C	UKA	GN1G_XMH	A2079975A	A65HVF6S	AUO	N/A	N/A	See attached Excel file "FY15 Tcon"	See attached Excel file "FY15 T-con"	A2068391A	COMPL SVC BMX_XM_AEP_T2S2 SPRO	147461011	GL1SB	149296311	RMT-TX100D
FY15	6000001-6800000	KDL-65W858C	CEI	GN1G_XMH	A2079974A	A65HVF6B	AUO	N/A	N/A	See attached Excel file "FY15 Tcon"	See attached Excel file "FY15 T-con"	A2068391A	COMPL SVC BMX_XM_AEP_T2S2 SPRO	147461011	GL1SB	149296311	RMT-TX100D
FY15	6800001-7000000	KDL-65W858C	UKA	GN1G_XMH	A2079974A	A65HVF6B	AUO	N/A	N/A	See attached Excel file "FY15 Tcon"	See attached Excel file "FY15 T-con"	A2068391A	COMPL SVC BMX_XM_AEP_T2S2 SPRO	147461011	GL1SB	149296311	RMT-TX100D
FY15	6000001-6800000	KDL-65W859C	CEI	GN1G_XMH	A2079974A	A65HVF6B	AUO	N/A	N/A	See attached Excel file "FY15 Tcon"	See attached Excel file "FY15 T-con"	A2068391A	COMPL SVC BMX_XM_AEP_T2S2 SPRO	147461011	GL1SB	149296311	RMT-TX100D
FY15	6800001-7000000	KDL-65W859C	UKA	GN1G_XMH	A2079974A	A65HVF6B	AUO	N/A	N/A	See attached Excel file "FY15 Tcon"	See attached Excel file "FY15 T-con"	A2068391A	COMPL SVC BMX_XM_AEP_T2S2 SPRO	147461011	GL1SB	149296311	RMT-TX100D
FY15	6000001-6800000	KDL-75W855C	CEI	GN1G_XMH	A2079978A	B75HF59B	Darwin	N/A	N/A	See attached Excel file "FY15 Tcon"	See attached Excel file "FY15 T-con"	A2068391A	COMPL SVC BMX_XM_AEP_T2S2 SPRO	147460911	GL1C	149296311	RMT-TX100D
FY15	6800001-7000000	KDL-75W855C	UKA	GN1G_XMH	A2079978A	B75HF59B	Darwin	N/A	N/A	See attached Excel file "FY15 Tcon"	See attached Excel file "FY15 T-con"	A2068391A	COMPL SVC BMX_XM_AEP_T2S2 SPRO	147460911	GL1C	149296311	RMT-TX100D
FY15	5100001-5200000	KDL-75W855C/9	CEI	GN1G_XMH	B2B MODEL  CONTACT PSE												
FY15	6000001-6800000	KDL-32R400C	CEI	GN1S_SE2	A2069349A	IS5S320VNG0101	SOEM	N/A	N/A	N/A	N/A	A2066806A	BE	149299711	AC ADAPTOR (45W)	149271811	RM-ED062
FY15	6000001-6800000	KDL-32R403C	CEI	GN1S_SE2	A2069349A	IS5S320VNG0101	SOEM	N/A	N/A	N/A	N/A	A2066810A	BE	149299711	AC ADAPTOR (45W)	149271811	RM-ED062
